2016-04-19 13:26:37	guest	http://church.markgoldsmith.me/sermons/the-kings-last-week/	Error: 	Call to a member function shorten() on a non-object (line 261 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-19 13:26:38	admin	http://church.markgoldsmith.me/sermons/the-kings-last-week/	Error: 	Call to a member function shorten() on a non-object (line 261 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-19 13:26:38	guest	http://church.markgoldsmith.me/sermons/the-kings-last-week/	Error: 	Call to a member function shorten() on a non-object (line 261 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-19 13:28:22	admin	http://church.markgoldsmith.me/sermons/	Error: 	Call to a member function first() on a non-object (line 38 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-19 13:29:57	guest	http://church.markgoldsmith.me/sermons/	Error: 	Call to a member function size() on a non-object (line 38 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-19 13:29:57	guest	http://church.markgoldsmith.me/sermons/	Error: 	Call to a member function size() on a non-object (line 38 of /home/cfbjvjkv/public_html/church/site/templates/series.php)
2016-04-20 11:47:11	guest	http://church.markgoldsmith.me/events/christmas-eve/	Error: 	Call to a member function shorten() on a non-object (line 63 of /home/cfbjvjkv/public_html/church/site/templates/event.php)
2016-04-20 11:47:12	admin	http://church.markgoldsmith.me/events/christmas-eve/	Error: 	Call to a member function shorten() on a non-object (line 63 of /home/cfbjvjkv/public_html/church/site/templates/event.php)
2016-04-20 11:47:12	guest	http://church.markgoldsmith.me/events/christmas-eve/	Error: 	Call to a member function shorten() on a non-object (line 63 of /home/cfbjvjkv/public_html/church/site/templates/event.php)
2016-04-20 11:49:17	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 102 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:49:51	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 102 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:49:51	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 102 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:50:22	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 73 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:50:50	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 73 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:51:18	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 73 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:51:45	admin	http://church.markgoldsmith.me/events/	Parse Error: 	syntax error, unexpected ';' (line 19 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:51:53	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 75 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:31	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 19 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:31	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 75 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:31	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 75 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:31	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 75 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:31	guest	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 75 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 11:52:32	admin	http://church.markgoldsmith.me/events/	Error: 	Class 'Julian' not found (line 19 of /home/cfbjvjkv/public_html/church/site/templates/event-list.php)
2016-04-20 14:00:46	admin	http://church.markgoldsmith.me/about/staff/	Error: 	Call to a member function first() on a non-object (line 35 of /home/cfbjvjkv/public_html/church/site/templates/staff-list.php)
2016-04-20 14:02:14	guest	http://church.markgoldsmith.me/about/staff/susan-parker/	Error: 	Call to a member function first() on a non-object (line 29 of /home/cfbjvjkv/public_html/church/site/templates/staff-detail.php)
2016-04-20 14:02:15	admin	http://church.markgoldsmith.me/about/staff/susan-parker/	Error: 	Call to a member function first() on a non-object (line 29 of /home/cfbjvjkv/public_html/church/site/templates/staff-detail.php)
2016-04-20 14:02:15	guest	http://church.markgoldsmith.me/about/staff/susan-parker/	Error: 	Call to a member function first() on a non-object (line 29 of /home/cfbjvjkv/public_html/church/site/templates/staff-detail.php)
2016-04-20 14:27:39	guest	http://church.markgoldsmith.me/serve/childrens-ministry/	Error: 	Call to a member function connect() on a non-object (line 18 of /home/cfbjvjkv/public_html/church/site/templates/serve-application.php)
2016-04-20 14:27:39	admin	http://church.markgoldsmith.me/serve/childrens-ministry/	Error: 	Call to a member function connect() on a non-object (line 18 of /home/cfbjvjkv/public_html/church/site/templates/serve-application.php)
2016-04-20 14:31:30	guest	http://church.markgoldsmith.me/serve/parking-lot-attendants/	Parse Error: 	syntax error, unexpected '}' (line 184 of /home/cfbjvjkv/public_html/church/site/templates/serve-application.php)
2016-04-20 14:31:30	admin	http://church.markgoldsmith.me/serve/parking-lot-attendants/	Parse Error: 	syntax error, unexpected '}' (line 184 of /home/cfbjvjkv/public_html/church/site/templates/serve-application.php)
2016-04-20 14:43:06	guest	http://church.markgoldsmith.me/search/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1142 INSERT command denied to user 'cfbjvjkv_mark'@'localhost' for table 'search_history' (in /home/cfbjvjkv/public_html/church/wire/core/WireDatabasePDO.php line 140)
2016-04-20 14:43:06	admin	http://church.markgoldsmith.me/search/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1142 INSERT command denied to user 'cfbjvjkv_mark'@'localhost' for table 'search_history' (in /home/cfbjvjkv/public_html/church/wire/core/WireDatabasePDO.php line 140)  #0 /home/cfbjvjkv/public_html/church/wire/core/WireDatabasePDO.php(140): PDO->query('INSERT INTO cha...') #1 /home/cfbjvjkv/public_html/church/site/templates/search.php(69): WireDatabasePDO->query('INSERT INTO cha...') #2 /home/cfbjvjkv/public_html/church/wire/core/TemplateFile.php(182): require('/home/cfbjvjkv/...') #3 [internal function]: TemplateFile->___render() #4 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(398): call_user_func_array(Array, Array) #5 /home/cfbjvjkv/public_html/church/wire/core/Wire.php(333): Wire->runHooks('render', Array) #6 /home/cfbjvjkv/public_html/church/wire/modules/PageRender.module(422): Wire->__call('render', Array) #7 /home/cfbjvjkv/public_html/church/wire/modules/PageRender.module(422): TemplateFile->render() #8 [internal function]: PageRend
2016-04-20 14:43:07	guest	http://church.markgoldsmith.me/search/	Error: 	Exception: SQLSTATE[42000]: Syntax error or access violation: 1142 INSERT command denied to user 'cfbjvjkv_mark'@'localhost' for table 'search_history' (in /home/cfbjvjkv/public_html/church/wire/core/WireDatabasePDO.php line 140)
2016-04-20 14:54:17	guest	http://church.markgoldsmith.me/media/speakers/pastor-jerry-gillis/	Error: 	Call to a member function first() on a non-object (line 32 of /home/cfbjvjkv/public_html/church/site/templates/markup/media/archive.php)
2016-04-20 14:54:17	admin	http://church.markgoldsmith.me/media/speakers/pastor-jerry-gillis/	Error: 	Call to a member function first() on a non-object (line 32 of /home/cfbjvjkv/public_html/church/site/templates/markup/media/archive.php)
2016-04-20 14:54:17	guest	http://church.markgoldsmith.me/media/speakers/pastor-jerry-gillis/	Error: 	Call to a member function first() on a non-object (line 32 of /home/cfbjvjkv/public_html/church/site/templates/markup/media/archive.php)
2016-09-03 08:49:08	guest	http://thursdaychurch.herokuapp.com/http404/	Error: 	Exception: Lost connection to MySQL server during query SELECT id, redirect_to FROM ProcessRedirects WHERE redirect_from='/wpad.dat' OR redirect_from='/wpad.dat/' (in C:\MAMP\htdocs\wire\core\Database.php line 114)  #0 C:\MAMP\htdocs\wire\core\DatabaseMysqli.php(38): Database->query('SELECT id, redi...') #1 C:\MAMP\htdocs\site\modules\ProcessRedirects\ProcessRedirects.module(264): DatabaseMysqli->__call('query', Array) #2 C:\MAMP\htdocs\wire\core\Wire.php(459): ProcessRedirects->checkRedirects(Object(HookEvent)) #3 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('pageNotFound', Array) #4 C:\MAMP\htdocs\wire\modules\Process\ProcessPageView.module(196): Wire->__call('pageNotFound', Array) #5 C:\MAMP\htdocs\wire\core\Wire.php(398): ProcessPageView->___execute(true) #6 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('execute', Array) #7 C:\MAMP\htdocs\index.php(235): Wire->__call('execute', Array) #8 {main}
2016-09-03 08:49:08	guest	http://thursdaychurch.herokuapp.com/http404/	Error: 	Exception: MySQL server has gone away SELECT id, redirect_to FROM ProcessRedirects WHERE redirect_from='/wpad.dat' OR redirect_from='/wpad.dat/' (in C:\MAMP\htdocs\wire\core\Database.php line 114)  #0 C:\MAMP\htdocs\wire\core\DatabaseMysqli.php(38): Database->query('SELECT id, redi...') #1 C:\MAMP\htdocs\site\modules\ProcessRedirects\ProcessRedirects.module(264): DatabaseMysqli->__call('query', Array) #2 C:\MAMP\htdocs\wire\core\Wire.php(459): ProcessRedirects->checkRedirects(Object(HookEvent)) #3 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('pageNotFound', Array) #4 C:\MAMP\htdocs\wire\modules\Process\ProcessPageView.module(196): Wire->__call('pageNotFound', Array) #5 C:\MAMP\htdocs\wire\core\Wire.php(398): ProcessPageView->___execute(true) #6 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('execute', Array) #7 C:\MAMP\htdocs\index.php(235): Wire->__call('execute', Array) #8 {main}
2016-09-03 10:04:01	?	http://thursdaychurch.herokuapp.com/?/	Error: 	Exception: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away (in C:\MAMP\htdocs\wire\core\WireSaveableItemsLookup.php line 71)  #0 C:\MAMP\htdocs\wire\core\WireSaveableItemsLookup.php(71): PDOStatement->execute() #1 C:\MAMP\htdocs\wire\core\Fieldgroups.php(100): WireSaveableItemsLookup->___load(Object(FieldgroupsArray), NULL) #2 C:\MAMP\htdocs\wire\core\Wire.php(398): Fieldgroups->___load(Object(FieldgroupsArray)) #3 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('load', Array) #4 C:\MAMP\htdocs\wire\core\Fieldgroups.php(71): Wire->__call('load', Array) #5 C:\MAMP\htdocs\wire\core\ProcessWire.php(300): Fieldgroups->init() #6 C:\MAMP\htdocs\wire\core\ProcessWire.php(257): ProcessWire->initVar('fieldgroups', Object(Fieldgroups)) #7 C:\MAMP\htdocs\wire\core\ProcessWire.php(94): ProcessWire->load(Object(Config)) #8 C:\MAMP\htdocs\index.php(232): ProcessWire->__construct(Object(Config)) #9 {main}
